winner,starter,total_turns,win_direction,depth,turn_times,average_turn_time,turn_nodes,average_turn_nodes

Minimax,Greedy,12,lru,True,True,3,"[0.529, 1.4972, 2.1397, 2.1102, 2.0951, 1.4711]",1.64,"[3054, 8279, 12042, 11953, 11992, 9016]",9389.33

Minimax,Greedy,10,horizontal,True,True,2,"[0.0586, 0.159, 0.217, 0.2361, 0.1413]",0.16,"[362, 889, 1244, 1352, 831]",935.6

Minimax,Minimax,9,horizontal,True,True,6,"[348.0344, 624.3656, 1549.5642, 1344.3751, 559.672]",885.2,"[1997054, 3551646, 8907702, 7771078, 3473243]",5140144.6

Minimax,Greedy,10,vertical,True,True,5,"[12.638, 47.5315, 101.0115, 71.2407, 49.607]",56.41,"[61693, 211662, 489490, 373344, 297456]",286729.0

Minimax,Greedy,6,vertical,True,True,4,"[27.4163, 35.9647, 28.0898]",30.49,"[159906, 211471, 169665]",180347.33

Minimax,Greedy,8,vertical,True,True,3,"[0.8008, 1.4771, 2.5227, 2.9081]",1.93,"[4520, 8227, 13997, 16528]",10818.0

Minimax,Minimax,3,horizontal,True,True,2,"[0.134, 0.0851]",0.11,"[762, 505]",633.5

Minimax,Greedy,6,vertical,True,True,6,"[295.6475, 706.4218, 1075.1137]",692.39,"[1678512, 4076039, 6375635]",4043395.33

Minimax,Minimax,3,horizontal,True,True,5,"[28.966, 45.3191]",37.14,"[134278, 227384]",180831.0

Minimax,Minimax,9,horizontal,True,True,4,"[16.3325, 17.1668, 31.7807, 38.8493, 31.6609]",27.16,"[97252, 97788, 180643, 222205, 184336]",156444.8

Minimax,Greedy,10,vertical,True,True,3,"[0.8399, 1.0473, 1.6698, 1.5112, 1.4212]",1.3,"[4646, 5775, 9399, 9420, 9100]",7668.0

Greedy,Greedy,9,vertical,True,True,2,"[0.1895, 0.2682, 0.2231, 0.197]",0.22,"[1074, 1525, 1288, 1211]",1274.5

Minimax,Greedy,6,vertical,True,True,4,"[23.92, 54.6266, 68.3593]",48.97,"[108488, 185648, 232121]",175419.0

Minimax,Minimax,11,lru,True,True,3,"[1.4978, 1.4387, 2.5963, 3.5434, 4.1848, 4.1031]",2.89,"[4841, 4715, 8491, 11841, 13937, 13834]",9609.83

Minimax,Greedy,8,vertical,True,True,2,"[0.22, 0.311, 0.383, 0.519]",0.36,"[779, 1031, 1290, 1725]",1206.25

Minimax,Greedy,10,horizontal,True,True,4,"[16.2736, 43.9668, 71.081, 63.4787, 30.4624]",45.05,"[58260, 148010, 240860, 217612, 110970]",155142.4

Minimax,Minimax,5,vertical,True,True,3,"[3.0415, 3.1485, 1.7509]",2.65,"[10066, 10245, 6119]",8810.0

Minimax,Greedy,8,lrd,True,True,2,"[0.372, 0.72, 0.61, 0.346]",0.51,"[1244, 2401, 2008, 1237]",1722.5

Minimax,Greedy,4,horizontal,True,True,4,"[34.7565, 21.6966]",28.23,"[118418, 75943]",97180.5

Minimax,Minimax,9,vertical,True,True,3,"[2.0449, 2.481, 3.2991, 2.694, 2.6319]",2.63,"[6749, 8352, 10886, 9345, 9845]",9035.4

Minimax,Minimax,7,vertical,True,True,2,"[0.121, 0.375, 0.239, 0.302]",0.26,"[395, 1259, 792, 1050]",874.0

Minimax,Greedy,6,vertical,True,True,4,"[31.9707, 54.6601, 68.2724]",51.63,"[108488, 185648, 232121]",175419.0

Minimax,Greedy,4,horizontal,True,True,3,"[2.0492, 2.097]",2.07,"[6656, 7271]",6963.5

Minimax,Greedy,8,lru,True,True,2,"[0.296, 0.2738, 0.357, 0.473]",0.35,"[1045, 912, 1211, 1597]",1191.25

Minimax,Minimax,7,vertical,True,True,4,"[16.708, 26.8563, 55.1315, 64.3264]",40.76,"[57577, 90246, 184821, 219245]",137972.25

Minimax,Greedy,8,horizontal,True,True,3,"[1.3544, 2.1906, 3.7703, 2.0211]",2.33,"[4332, 7191, 12502, 7042]",7766.75

Minimax,Greedy,12,lru,True,True,2,"[0.095, 0.263, 0.362, 0.395, 0.6285, 0.3869]",0.36,"[344, 873, 1201, 1409, 2060, 1424]",1218.5

Minimax,Minimax,3,horizontal,True,True,4,"[19.6376, 20.4887]",20.06,"[68906, 71341]",70123.5

Minimax,Greedy,8,vertical,True,True,3,"[1.5291, 2.1016, 3.5111, 3.8755]",2.75,"[5056, 6777, 11692, 13320]",9211.25

Minimax,Minimax,7,vertical,True,True,2,"[0.115, 0.253, 0.4684, 0.355]",0.3,"[388, 853, 1577, 1203]",1005.25

Minimax,Greedy,6,vertical,True,True,4,"[32.0458, 54.7065, 68.3173]",51.69,"[108488, 185648, 232121]",175419.0

Minimax,Greedy,8,horizontal,True,True,3,"[1.1275, 1.685, 3.0088, 2.5969]",2.1,"[3685, 5446, 9889, 9244]",7066.0

Minimax,Greedy,8,lru,True,True,2,"[0.246, 0.249, 0.3873, 0.497]",0.34,"[826, 830, 1301, 1683]",1160.0

Minimax,Minimax,11,vertical,True,True,4,"[17.1613, 53.1812, 53.0902, 38.6993, 24.9223, 11.2058]",33.04,"[57981, 179035, 180301, 134010, 91581, 41336]",114040.67

Minimax,Minimax,3,horizontal,True,True,3,"[0.81, 1.9359]",1.37,"[2780, 6770]",4775.0

Minimax,Greedy,4,horizontal,True,True,2,"[0.384, 0.2225]",0.3,"[1299, 793]",1046.0

Minimax,Minimax,9,vertical,True,True,4,"[17.8451, 42.0561, 75.1924, 44.8279, 29.6997]",41.92,"[60640, 142421, 255960, 155812, 108638]",144694.2

Minimax,Minimax,3,horizontal,True,True,3,"[0.815, 2.0617]",1.44,"[2771, 7125]",4948.0

Minimax,Greedy,4,horizontal,True,True,2,"[0.2629, 0.2606]",0.26,"[877, 919]",898.0

Greedy,Greedy,11,lru,True,True,4,"[15.6403, 42.2404, 70.2543, 55.6912, 83.0918]",53.38,"[56493, 142218, 239251, 190740, 289218]",183584.0

Minimax,Greedy,10,vertical,True,True,3,"[1.7392, 2.2964, 4.0679, 3.2171, 2.6377]",2.79,"[5631, 7384, 13403, 10970, 9580]",9393.6

Minimax,Minimax,9,horizontal,True,True,2,"[0.248, 0.2533, 0.434, 0.6671, 0.368]",0.39,"[829, 838, 1431, 2204, 1225]",1305.4
Minimax,Greedy,8,lru,True,True,4,"[17.8414, 40.9527, 66.3174, 97.9146]",55.76,"[104244, 229169, 307629, 485690]",281683.0

Minimax,Greedy,10,lru,True,True,3,"[0.5165, 1.2547, 2.15, 3.2872, 2.9818]",2.04,"[2962, 6966, 12000, 18925, 16541]",11478.8

Minimax,Minimax,7,vertical,True,True,2,"[0.157, 0.225, 0.2, 0.296]",0.22,"[782, 1273, 1116, 1658]",1207.25

Minimax,Minimax,7,vertical,True,True,4,"[8.3915, 31.0614, 46.9019, 25.9664]",28.08,"[48275, 166459, 199373, 153447]",141888.5

Minimax,Greedy,6,vertical,True,True,3,"[1.144, 1.9116, 1.7435]",1.6,"[6473, 11169, 10629]",9423.67

Minimax,Greedy,4,horizontal,True,True,2,"[0.266, 0.132]",0.2,"[1490, 793]",1141.5

Minimax,Minimax,9,horizontal,True,True,4,"[11.9408, 26.7846, 50.3975, 41.6139, 18.1786]",29.78,"[69805, 102750, 229344, 241045, 109888]",150566.4

Minimax,Minimax,11,lru,True,True,3,"[0.521, 0.945, 1.334, 2.0799, 1.1999, 1.57]",1.27,"[3044, 5302, 7400, 11919, 7498, 9557]",7453.33

Minimax,Minimax,9,vertical,True,True,2,"[0.063, 0.164, 0.1641, 0.221, 0.251]",0.17,"[345, 913, 907, 1237, 1436]",967.6

Minimax,Minimax,3,horizontal,True,True,5,"[28.0585, 36.4642]",32.26,"[136353, 193642]",164997.5

Minimax,Minimax,7,vertical,True,True,4,"[7.6536, 15.9608, 32.332, 37.5191]",23.37,"[44903, 91180, 184821, 219245]",135037.25

Minimax,Greedy,8,vertical,True,True,3,"[0.485, 1.4848, 2.5489, 2.8892]",1.85,"[2805, 8227, 13997, 16528]",10389.25

Minimax,Greedy,10,horizontal,True,True,2,"[0.061, 0.1557, 0.216, 0.2345, 0.168]",0.17,"[370, 872, 1238, 1331, 981]",958.4

Minimax,Minimax,3,horizontal,True,True,5,"[36.6618, 42.2149]",39.44,"[169652, 210956]",190304.0

