winner,starter,total_turns,win_direction,ab_pruning,t_tables,depth,turn_times,average_turn_time,turn_nodes,average_turn_nodes
Minimax,Greedy,10,lru,True,True,5,"[36.167, 83.251, 71.2758, 45.9919, 23.5388]",52.04,"[165331, 417572, 393016, 247096, 138206]",272244.2

Minimax,Greedy,8,vertical,True,True,4,"[25.5238, 23.7516, 32.3895, 19.2339]",25.22,"[145452, 137851, 193573, 116451]",148331.75

Minimax,Minimax,11,lru,True,True,3,"[0.563, 0.973, 1.3525, 2.092, 1.1955, 1.5835]",1.29,"[3096, 5390, 7400, 11919, 7498, 9557]",7476.67

Greedy,Greedy,11,vertical,True,True,2,"[0.232, 0.151, 0.263, 0.211, 0.2236]",0.22,"[1319, 856, 1471, 1261, 1221]",1225.6

Minimax,Minimax,7,vertical,True,True,5,"[15.0108, 20.3161, 56.8305, 86.6941]",44.71,"[72757, 84188, 261123, 443913]",215495.25

Minimax,Greedy,10,horizontal,True,True,4,"[6.9625, 26.0812, 41.9908, 37.3976, 17.9024]",26.07,"[42336, 148010, 240860, 217612, 110970]",151957.6

Minimax,Minimax,11,lru,True,True,3,"[0.581, 0.8475, 1.5272, 2.0769, 2.4645, 2.3889]",1.65,"[3198, 4715, 8491, 11841, 13937, 13834]",9336.0

Minimax,Greedy,4,horizontal,True,True,2,"[0.2173, 0.152]",0.18,"[1238, 919]",1078.5

Minimax,Minimax,3,horizontal,True,True,5,"[15.1943, 47.3117]",31.25,"[71164, 236257]",153710.5

Minimax,Minimax,7,vertical,True,True,4,"[14.5175, 15.9183, 32.6339, 37.8125]",25.22,"[86432, 90246, 184821, 219245]",145186.0

Minimax,Minimax,3,horizontal,True,True,3,"[0.791, 0.6093]",0.7,"[4622, 3846]",4234.0

Minimax,Greedy,10,vertical,True,True,2,"[0.131, 0.217, 0.338, 0.2835, 0.206]",0.24,"[736, 1216, 1925, 1596, 1168]",1328.2

Minimax,Minimax,9,horizontal,True,True,5,"[35.1099, 65.789, 88.7009, 108.4806, 49.5906]",69.53,"[160656, 303260, 430921, 537727, 274265]",341365.8

Minimax,Minimax,9,horizontal,True,True,4,"[7.097, 15.6802, 34.6331, 56.0312, 26.4492]",27.98,"[41420, 88699, 195941, 315248, 153246]",158910.8

