winner,starter,total_turns,win_direction,ab_pruning,t_tables,depth_m,turn_times_m,average_turn_time_m,turn_nodes_m,average_turn_nodes_m,depth_n,turn_times_n,average_turn_time_n,turn_nodes_n,average_turn_nodes_n
Minimax,Negamax,10,lrd,True,True,3,"[1.0298, 1.1131, 2.1271, 1.8366, 1.7116]",1.56,"[5974, 6252, 12299, 10602, 10012]",9027.8,3,"[0.7, 1.2052, 1.6758, 1.816, 2.4886]",1.58,"[3996, 6901, 9618, 10592, 14507]",9122.8
Minimax,Minimax,9,lrd,True,True,4,"[9.4137, 21.3188, 47.7124, 39.3896, 17.8984]",27.15,"[54884, 123781, 278132, 245139, 112114]",162810.0,4,"[5.8978, 12.9117, 17.9293, 11.213]",11.99,"[32695, 73332, 105141, 67616]",69696.0
Minimax,Minimax,11,lru,True,True,5,"[15.355, 31.5107, 73.842, 66.9388, 75.7459, 29.9151]",48.88,"[71137, 143037, 356502, 350545, 412140, 149191]",247092.0,5,"[11.665, 39.35, 62.2469, 54.5127, 59.223]",45.4,"[62140, 216051, 355736, 322733, 353564]",262044.8
Minimax,Minimax,7,vertical,True,True,1,"[0.0088, 0.005, 0.012, 0.012]",0.01,"[37, 19, 55, 55]",41.5,1,"[0.005, 0.009, 0.012]",0.01,"[19, 37, 55]",37.0
Minimax,Minimax,13,vertical,True,True,2,"[0.123, 0.073, 0.154, 0.146, 0.272, 0.341, 0.21]",0.19,"[704, 413, 870, 816, 1524, 1920, 1174]",1060.14,2,"[0.053, 0.148, 0.162, 0.158, 0.2863, 0.176]",0.16,"[325, 827, 915, 873, 1539, 1034]",918.83
Negamax,Negamax,14,lru,True,True,3,"[1.0537, 1.2577, 2.6627, 2.1565, 2.2078, 1.71, 0.59]",1.66,"[6091, 7064, 14887, 12419, 13151, 10358, 3718]",9669.71,3,"[0.555, 0.9146, 1.6593, 2.1226, 1.8192, 1.8732, 0.8749]",1.4,"[3279, 5283, 9303, 12164, 11131, 11380, 6045]",8369.29
Negamax,Minimax,10,vertical,True,True,4,"[9.7964, 22.0352, 54.473, 35.1448, 24.3532]",29.16,"[57216, 128248, 318733, 209132, 148256]",172317.0,4,"[5.7305, 11.3241, 14.4574, 13.356, 5.4956]",10.07,"[31796, 64363, 82942, 80979, 34215]",58859.0
Negamax,Minimax,8,vertical,True,True,5,"[14.1431, 38.7282, 87.388, 89.1487]",57.35,"[66101, 178474, 440348, 478784]",290926.75,5,"[13.5542, 45.7184, 57.1519, 55.8839]",43.08,"[72818, 249148, 322165, 335836]",244991.75
Minimax,Negamax,8,vertical,True,True,1,"[0.008, 0.012, 0.015, 0.012]",0.01,"[37, 55, 73, 55]",55.0,1,"[0.005, 0.008, 0.012, 0.013]",0.01,"[19, 37, 55, 55]",41.5
Negamax,Minimax,12,vertical,True,True,2,"[0.151, 0.24, 0.1505, 0.141, 0.233, 0.374]",0.21,"[859, 1388, 842, 785, 1325, 2131]",1221.67,2,"[0.102, 0.139, 0.13, 0.15, 0.245, 0.15]",0.15,"[572, 852, 719, 808, 1368, 859]",863.0
Negamax,Minimax,10,vertical,True,True,3,"[1.1326, 1.3405, 1.9433, 2.1857, 2.1896]",1.76,"[6458, 7573, 10963, 12529, 12868]",10078.2,3,"[2.1995, 1.1625, 1.7165, 2.2142, 1.8186]",1.82,"[12584, 6613, 9806, 13202, 11140]",10669.0
Minimax,Negamax,12,vertical,True,True,4,"[34.2374, 93.0334, 77.963, 24.8209, 27.9127, 12.6161]",45.1,"[199062, 538637, 454099, 147379, 171261, 79232]",264945.0,4,"[6.5015, 17.6192, 25.3423, 15.2747, 11.5894, 6.6417]",13.83,"[35829, 98832, 144987, 87365, 69996, 40906]",79652.5
Negamax,Negamax,11,vertical,True,True,5,"[15.2639, 52.5066, 93.77, 85.8486, 55.985]",60.67,"[66271, 250332, 478739, 463061, 318259]",315332.4,5,"[12.9373, 27.5468, 61.0221, 86.5152, 69.6059, 24.3461]",47.0,"[70362, 147532, 339411, 498862, 408656, 153819]",269773.67
Minimax,Minimax,9,vertical,True,True,1,"[0.004, 0.005, 0.008, 0.011, 0.015]",0.01,"[19, 19, 37, 55, 73]",40.6,1,"[0.006, 0.008, 0.012, 0.012]",0.01,"[19, 37, 55, 55]",41.5
Minimax,Negamax,12,lrd,True,True,2,"[0.152, 0.221, 0.288, 0.293, 0.2827, 0.135]",0.23,"[870, 1267, 1640, 1671, 1599, 788]",1305.83,2,"[0.064, 0.151, 0.196, 0.169, 0.259, 0.138]",0.16,"[363, 837, 1099, 960, 1446, 796]",916.83
Negamax,Negamax,13,lrd,True,True,3,"[0.837, 1.7269, 2.5126, 2.6718, 2.3197, 2.2265]",2.05,"[4585, 9555, 13894, 15141, 12945, 13420]",11590.0,3,"[0.685, 1.1214, 1.8436, 2.2267, 1.7969, 1.4657, 1.1294]",1.47,"[4141, 6360, 10545, 12985, 10490, 9243, 7423]",8741.0
Negamax,Negamax,9,lrd,True,True,4,"[19.2204, 27.1828, 31.9559, 29.1103]",26.87,"[114780, 158796, 191785, 178382]",160935.75,4,"[4.5569, 6.0021, 9.4167, 15.6011, 7.2441]",8.56,"[25641, 32790, 52047, 88594, 45639]",48942.2
Negamax,Negamax,9,horizontal,True,True,5,"[34.314, 44.1699, 62.9219, 83.001]",56.1,"[156454, 211953, 327080, 450715]",286550.5,5,"[12.8818, 26.5484, 47.8349, 59.7807, 75.5365]",44.52,"[68750, 142565, 268184, 351234, 443079]",254762.4
Negamax,Minimax,6,vertical,True,True,1,"[0.008, 0.008, 0.012]",0.01,"[37, 37, 55]",43.0,1,"[0.008, 0.012, 0.011]",0.01,"[37, 55, 55]",49.0
Minimax,Minimax,3,horizontal,True,True,2,"[0.132, 0.077]",0.1,"[760, 463]",611.5,2,[0.068],0.07,[441],441.0
Minimax,Negamax,12,vertical,True,True,3,"[1.8201, 1.4009, 1.6265, 3.1843, 1.4041, 1.0201]",1.74,"[10343, 7800, 9156, 18133, 8681, 6642]",10125.83,3,"[1.1081, 1.8706, 1.3079, 2.4726, 2.8816, 1.3563]",1.83,"[6414, 10595, 7337, 14204, 16696, 8007]",10542.17
Minimax,Negamax,12,lrd,True,True,4,"[14.5557, 29.1328, 25.2033, 38.329, 42.7153, 28.2554]",29.7,"[86771, 169569, 146121, 224973, 255104, 174077]",176102.5,4,"[4.0431, 6.1319, 9.3339, 13.4267, 17.767, 15.8223]",11.09,"[23306, 33380, 51114, 75592, 100644, 91359]",62565.83
Negamax,Minimax,12,horizontal,True,True,5,"[14.3563, 35.8012, 86.1398, 69.73, 71.7059, 87.2037]",60.82,"[67022, 162715, 422341, 352792, 399232, 502787]",317814.83,5,"[13.4835, 47.2063, 65.9124, 58.2343, 46.4396, 34.6968]",44.33,"[71578, 259088, 370322, 341306, 290358, 225128]",259630.0
Minimax,Minimax,3,vertical,True,True,1,"[0.008, 0.012]",0.01,"[37, 55]",46.0,1,[0.012],0.01,[55],55.0
Minimax,Negamax,12,lrd,True,True,2,"[0.072, 0.131, 0.176, 0.148, 0.3358, 0.187]",0.17,"[402, 745, 992, 828, 1862, 1186]",1002.5,2,"[0.055, 0.107, 0.163, 0.092, 0.155, 0.142]",0.12,"[305, 590, 913, 538, 870, 802]",669.67
Minimax,Minimax,13,vertical,True,True,3,"[0.563, 0.7006, 1.3111, 1.4053, 1.6677, 2.5093, 1.3305]",1.36,"[3298, 3939, 7236, 8024, 9394, 14618, 8757]",7895.14,3,"[0.431, 1.421, 2.1922, 1.6441, 2.2647, 2.8196]",1.8,"[2530, 8007, 12297, 9489, 13008, 16793]",10354.0
Minimax,Minimax,9,lrd,True,True,4,"[9.4564, 21.3212, 47.7291, 40.9082, 17.9231]",27.47,"[54884, 123781, 278132, 245139, 112114]",162810.0,4,"[5.8876, 12.9074, 17.9428, 11.1246]",11.97,"[32695, 73332, 105141, 67616]",69696.0
Minimax,Minimax,13,vertical,True,True,5,"[14.2228, 49.1666, 50.3891, 54.7263, 74.6121, 61.6062, 39.6504]",49.2,"[66702, 235535, 236650, 255831, 373803, 334650, 229733]",247557.71,5,"[24.6918, 47.9297, 44.2105, 56.356, 88.2676, 45.4233]",51.15,"[138039, 259832, 239660, 320817, 496282, 269795]",287404.17
Negamax,Minimax,10,vertical,True,True,1,"[0.006, 0.011, 0.015, 0.013, 0.015]",0.01,"[19, 55, 73, 55, 73]",55.0,1,"[0.008, 0.012, 0.011, 0.012, 0.011]",0.01,"[37, 55, 55, 55, 55]",51.4
Minimax,Minimax,13,vertical,True,True,2,"[0.132, 0.078, 0.171, 0.207, 0.182, 0.419, 0.175]",0.19,"[749, 433, 953, 1142, 975, 2334, 1131]",1102.43,2,"[0.096, 0.1214, 0.173, 0.166, 0.169, 0.2354]",0.16,"[551, 676, 942, 936, 959, 1342]",901.0
Minimax,Negamax,10,vertical,True,True,3,"[0.8735, 2.7506, 3.106, 3.2208, 1.2741]",2.25,"[4794, 15262, 17335, 18321, 8384]",12819.2,3,"[0.7761, 1.4033, 4.4056, 4.5696, 2.5387]",2.74,"[4379, 7963, 24680, 25642, 15285]",15589.8
Negamax,Negamax,11,lrd,True,True,4,"[16.2711, 20.9996, 45.5276, 33.2994, 28.0355]",28.83,"[96305, 123835, 266813, 198652, 173958]",171912.6,4,"[4.5315, 6.3193, 10.3859, 23.7683, 7.7378, 7.5492]",10.05,"[25584, 34587, 57663, 134938, 46306, 45333]",57401.83
Negamax,Negamax,9,vertical,True,True,5,"[33.2821, 59.0524, 63.9407, 30.2791]",46.64,"[156117, 290074, 331350, 162574]",235028.75,5,"[21.53, 43.322, 56.6401, 88.3498, 21.6348]",46.3,"[120494, 247908, 322697, 509402, 138953]",267890.8
Minimax,Minimax,7,vertical,True,True,1,"[0.009, 0.008, 0.011, 0.012]",0.01,"[19, 37, 55, 55]",41.5,1,"[0.008, 0.008, 0.011]",0.01,"[37, 37, 55]",43.0
Minimax,Negamax,10,vertical,True,True,2,"[0.137, 0.153, 0.23, 0.231, 0.193]",0.19,"[794, 857, 1293, 1327, 1276]",1109.4,2,"[0.097, 0.076, 0.17, 0.112, 0.217]",0.13,"[553, 420, 955, 608, 1242]",755.6
Negamax,Negamax,11,vertical,True,True,3,"[0.906, 1.481, 3.0671, 3.0712, 1.7862]",2.06,"[4973, 8260, 17349, 17495, 10849]",11785.2,3,"[0.4322, 0.9652, 1.718, 2.1854, 2.9538, 1.4635]",1.62,"[2392, 5431, 9698, 12727, 17356, 9105]",9451.5
Minimax,Minimax,9,lru,True,True,4,"[8.2773, 19.1327, 31.8034, 48.1931, 25.6559]",26.61,"[49125, 110864, 181734, 277896, 153842]",154692.2,4,"[5.1213, 9.2473, 18.7226, 26.8335]",14.98,"[29591, 52035, 104473, 151005]",84276.0
Minimax,Negamax,12,lrd,True,True,5,"[31.2085, 55.3014, 111.4447, 107.1331, 39.4108, 28.9719]",62.25,"[144300, 271316, 573285, 505084, 238333, 190997]",320552.5,5,"[29.2012, 44.2772, 62.554, 127.3662, 79.6288, 47.3959]",65.07,"[161721, 243990, 345547, 723674, 471699, 295671]",373717.0
Negamax,Minimax,8,vertical,True,True,1,"[0.008, 0.008, 0.008, 0.012]",0.01,"[37, 37, 37, 55]",41.5,1,"[0.008, 0.008, 0.012, 0.011]",0.01,"[37, 37, 55, 55]",46.0
Minimax,Minimax,13,lrd,True,True,2,"[0.063, 0.148, 0.243, 0.1339, 0.222, 0.339, 0.194]",0.19,"[362, 834, 1376, 792, 1265, 1912, 1156]",1099.57,2,"[0.062, 0.103, 0.118, 0.143, 0.2771, 0.19]",0.15,"[347, 571, 649, 787, 1517, 1082]",825.5
Minimax,Negamax,14,vertical,True,True,3,"[1.047, 1.436, 2.5504, 3.0177, 2.2116, 0.882, 0.8246]",1.71,"[5840, 8033, 14512, 17357, 12331, 5011, 5354]",9776.86,3,"[0.6692, 1.1595, 2.1543, 3.1566, 3.7621, 2.5344, 0.89]",2.05,"[3776, 6622, 12360, 18204, 21596, 14360, 5233]",11735.86
Minimax,Negamax,10,vertical,True,True,4,"[10.8044, 28.7351, 37.132, 45.2641, 23.1959]",29.03,"[62906, 165513, 215768, 271832, 142896]",171783.0,4,"[2.7905, 5.8446, 12.8634, 18.2135, 13.2805]",10.6,"[15509, 32320, 72334, 104911, 79607]",60936.2
Minimax,Minimax,13,vertical,True,True,5,"[22.5204, 20.5896, 57.888, 53.183, 108.1731, 60.7322, 54.5652]",53.95,"[116836, 84775, 272202, 247827, 561608, 324033, 294013]",271613.43,5,"[9.8865, 36.0232, 72.7083, 61.651, 71.4514, 45.6435]",49.56,"[56110, 191487, 396784, 351621, 402369, 265095]",277244.33
Negamax,Negamax,7,vertical,True,True,1,"[0.005, 0.01, 0.014]",0.01,"[19, 37, 55]",37.0,1,"[0.005, 0.006, 0.02, 0.012]",0.01,"[19, 19, 55, 55]",37.0
Negamax,Negamax,15,vertical,True,True,2,"[0.146, 0.145, 0.131, 0.125, 0.211, 0.302, 0.352]",0.2,"[832, 823, 798, 741, 1182, 1716, 2148]",1177.14,2,"[0.055, 0.135, 0.12, 0.1855, 0.1552, 0.273, 0.207, 0.092]",0.15,"[312, 757, 670, 1044, 826, 1545, 1160, 518]",854.0
Negamax,Negamax,11,vertical,True,True,3,"[0.9041, 1.4718, 3.0626, 3.0774, 1.8024]",2.06,"[4973, 8260, 17349, 17495, 10849]",11785.2,3,"[0.428, 0.9621, 1.7161, 2.1738, 2.9681, 1.4722]",1.62,"[2392, 5431, 9698, 12727, 17356, 9105]",9451.5
Negamax,Negamax,3,horizontal,True,True,4,[8.5821],8.58,[54782],54782.0,4,"[4.5377, 5.2548]",4.9,"[26110, 30271]",28190.5
Negamax,Negamax,9,vertical,True,True,5,"[13.2741, 42.8911, 74.7625, 65.0775]",49.0,"[63594, 191504, 359415, 338468]",238245.25,5,"[9.4169, 15.3149, 40.9744, 48.7438, 54.1847]",33.73,"[55665, 80663, 223004, 273007, 320708]",190609.4
Minimax,Minimax,3,vertical,True,True,1,"[0.008, 0.012]",0.01,"[37, 55]",46.0,1,[0.012],0.01,[55],55.0
Negamax,Negamax,11,vertical,True,True,2,"[0.116, 0.158, 0.173, 0.212, 0.6553]",0.26,"[715, 888, 974, 1171, 3610]",1471.6,2,"[0.095, 0.156, 0.107, 0.11, 0.2216, 0.186]",0.15,"[527, 827, 587, 641, 1150, 1038]",795.0
Minimax,Negamax,10,lrd,True,True,3,"[1.0415, 1.1261, 2.1475, 1.8413, 1.705]",1.57,"[5974, 6252, 12299, 10602, 10012]",9027.8,3,"[0.546, 1.219, 1.7072, 1.8205, 2.4756]",1.55,"[3065, 6901, 9618, 10592, 14507]",8936.6
Negamax,Minimax,12,vertical,True,True,4,"[12.2851, 21.2327, 42.0149, 42.5626, 51.9931, 30.6888]",33.46,"[71701, 123116, 240385, 246381, 300685, 190036]",195384.0,4,"[3.4396, 8.8368, 21.8781, 10.7666, 10.8694, 9.9098]",10.95,"[18586, 48779, 121077, 59008, 61978, 61704]",61855.33
Minimax,Minimax,15,lrd,True,True,5,"[34.0189, 20.4865, 52.5866, 57.1526, 86.6164, 82.8597, 36.5217, 13.4141]",47.96,"[161355, 84815, 242772, 268227, 466700, 472053, 225359, 90190]",251433.88,5,"[10.1326, 36.2898, 46.9285, 77.7947, 82.5382, 60.6609, 26.603]",48.71,"[57325, 193617, 255527, 432998, 484953, 390564, 179248]",284890.29
Negamax,Negamax,7,vertical,True,True,1,"[0.005, 0.008, 0.012]",0.01,"[19, 37, 55]",37.0,1,"[0.009, 0.005, 0.012, 0.012]",0.01,"[37, 19, 55, 55]",41.5
Minimax,Negamax,14,lru,True,True,2,"[0.124, 0.158, 0.1522, 0.173, 0.397, 0.29, 0.167]",0.21,"[707, 892, 834, 961, 2209, 1675, 1129]",1201.0,2,"[0.055, 0.103, 0.173, 0.1104, 0.168, 0.236, 0.144]",0.14,"[307, 574, 963, 652, 913, 1323, 844]",796.57
Negamax,Negamax,8,vertical,True,True,3,"[0.82, 2.597, 2.1083, 2.0122]",1.88,"[4531, 14591, 12019, 11882]",10755.75,3,"[0.4708, 1.6577, 1.8573, 1.271]",1.31,"[2744, 9726, 10645, 8074]",7797.25
Negamax,Minimax,10,lrd,True,True,4,"[32.3019, 18.1228, 30.4928, 50.6343, 33.5063]",33.01,"[189806, 104686, 176768, 300570, 205451]",195456.2,4,"[4.4162, 8.9126, 12.0567, 13.6995, 7.7561]",9.37,"[25813, 49529, 67458, 77412, 49243]",53891.0
Negamax,Negamax,9,vertical,True,True,5,"[40.7414, 103.1298, 116.7208, 115.2557]",93.96,"[174315, 483412, 574917, 630079]",465680.75,5,"[13.6903, 39.3834, 124.9839, 137.6258, 54.5351]",74.04,"[72676, 215677, 698555, 792760, 323676]",420668.8
Negamax,Negamax,7,vertical,True,True,1,"[0.005, 0.009, 0.018]",0.01,"[19, 37, 55]",37.0,1,"[0.009, 0.005, 0.011, 0.012]",0.01,"[37, 19, 55, 55]",41.5
Minimax,Negamax,12,vertical,True,True,2,"[0.1847, 0.137, 0.163, 0.15, 0.237, 0.18]",0.18,"[1028, 839, 918, 829, 1346, 1198]",1026.33,2,"[0.091, 0.109, 0.162, 0.144, 0.173, 0.195]",0.15,"[518, 620, 915, 795, 880, 1115]",807.17
Negamax,Negamax,9,lru,True,True,3,"[0.9927, 1.7152, 1.7423, 1.9933]",1.61,"[5556, 9636, 9810, 11576]",9144.5,3,"[0.6152, 1.1858, 1.5849, 1.8383, 1.8333]",1.41,"[3465, 6772, 9097, 10663, 11304]",8260.2
Minimax,Negamax,12,vertical,True,True,4,"[7.6131, 25.465, 27.997, 33.7403, 42.1037, 28.165]",27.51,"[47471, 146259, 163973, 196395, 242639, 169145]",160980.33,4,"[2.7334, 3.7129, 9.025, 8.3634, 18.6656, 16.7484]",9.87,"[15680, 20038, 49345, 46725, 107416, 95858]",55843.67
Minimax,Minimax,11,lru,True,True,5,"[28.6061, 40.1162, 117.3582, 125.5686, 93.5342, 90.9139]",82.68,"[139411, 181184, 559038, 582483, 481615, 505687]",408236.33,5,"[19.9007, 51.4457, 54.4438, 144.983, 111.8462]",76.52,"[109196, 282173, 303090, 839415, 648468]",436468.4
Negamax,Minimax,8,vertical,True,True,1,"[0.005, 0.008, 0.008, 0.012]",0.01,"[19, 37, 37, 55]",37.0,1,"[0.008, 0.008, 0.012, 0.012]",0.01,"[37, 37, 55, 55]",46.0
Minimax,Negamax,14,lru,True,True,2,"[0.202, 0.156, 0.148, 0.1737, 0.398, 0.291, 0.165]",0.22,"[1170, 892, 834, 961, 2209, 1675, 1129]",1267.14,2,"[0.109, 0.1015, 0.171, 0.111, 0.163, 0.234, 0.142]",0.15,"[569, 574, 963, 652, 913, 1323, 844]",834.0
Minimax,Negamax,10,lrd,True,True,3,"[1.0498, 1.12, 2.1451, 1.8353, 1.7133]",1.57,"[5974, 6252, 12299, 10602, 10012]",9027.8,3,"[0.5436, 1.2208, 1.6946, 1.818, 2.4887]",1.55,"[3065, 6901, 9618, 10592, 14507]",8936.6
Minimax,Minimax,7,lru,True,True,4,"[9.8406, 22.7368, 31.9197, 31.9906]",24.12,"[57667, 132489, 186335, 189859]",141587.5,4,"[5.8744, 10.9076, 17.551]",11.44,"[32531, 61492, 101663]",65228.67
Minimax,Negamax,10,lru,True,True,5,"[58.0796, 66.5342, 96.2369, 63.2364, 44.2476]",65.67,"[278117, 316491, 504818, 343728, 250968]",338824.4,5,"[28.2526, 28.253, 67.3794, 74.8373, 54.3325]",50.61,"[157740, 152269, 370557, 436201, 318559]",287065.2
Negamax,Minimax,8,vertical,True,True,1,"[0.0089, 0.0085, 0.009, 0.012]",0.01,"[37, 37, 37, 55]",41.5,1,"[0.008, 0.008, 0.012, 0.012]",0.01,"[37, 37, 55, 55]",46.0
Minimax,Minimax,13,vertical,True,True,2,"[0.065, 0.071, 0.2, 0.236, 0.1991, 0.4161, 0.175]",0.19,"[345, 406, 1125, 1296, 1097, 2334, 1131]",1104.86,2,"[0.057, 0.136, 0.16, 0.1435, 0.169, 0.2349]",0.15,"[352, 753, 905, 823, 959, 1342]",855.67
Negamax,Negamax,9,vertical,True,True,3,"[0.9509, 2.8719, 1.7532, 1.8726]",1.86,"[5339, 16317, 10095, 11154]",10726.25,3,"[0.532, 2.0516, 1.6701, 2.1318, 1.422]",1.56,"[3125, 11993, 9586, 12574, 9297]",9315.0
Minimax,Negamax,12,lru,True,True,4,"[12.0997, 23.5762, 29.1556, 42.1393, 39.1124, 13.8468]",26.66,"[70351, 136469, 169096, 243849, 233797, 89074]",157106.0,4,"[3.1615, 7.1962, 8.6339, 9.5456, 21.7078, 11.8099]",10.34,"[17330, 39574, 47544, 52444, 123486, 72399]",58796.17
Minimax,Minimax,13,vertical,True,True,5,"[11.0603, 20.578, 58.011, 53.0319, 108.239, 60.5594, 54.6572]",52.31,"[57428, 84775, 272202, 247827, 561608, 324033, 294013]",263126.57,5,"[9.6125, 35.9668, 72.683, 61.5044, 71.4859, 45.7251]",49.5,"[55159, 191487, 396784, 351621, 402369, 265095]",277085.83
Minimax,Minimax,3,horizontal,True,True,1,"[0.008, 0.01]",0.01,"[37, 55]",46.0,1,[0.009],0.01,[37],37.0
Minimax,Minimax,13,vertical,True,True,2,"[0.233, 0.133, 0.214, 0.223, 0.209, 0.336, 0.1927]",0.22,"[1318, 757, 1202, 1252, 1141, 1919, 1117]",1243.71,2,"[0.124, 0.108, 0.122, 0.105, 0.169, 0.177]",0.13,"[699, 605, 707, 609, 946, 1046]",768.67
Minimax,Minimax,9,vertical,True,True,3,"[1.77, 2.4468, 2.2842, 2.5946, 0.9377]",2.01,"[10066, 13712, 12938, 15344, 6202]",11652.4,3,"[1.5648, 2.7767, 2.5941, 1.7256]",2.17,"[8795, 15819, 15099, 10445]",12539.5
Minimax,Minimax,11,lru,True,True,4,"[9.6185, 20.838, 35.957, 38.6616, 38.1465, 31.7625]",29.16,"[57270, 120883, 205614, 223879, 232256, 192877]",172129.83,4,"[2.8826, 8.868, 17.7833, 13.3215, 12.273]",11.03,"[15585, 48665, 99506, 76454, 71189]",62279.8
Minimax,Minimax,13,vertical,True,True,5,"[13.609, 20.519, 58.0195, 53.0791, 108.0884, 60.594, 54.4893]",52.63,"[69593, 84775, 272202, 247827, 561608, 324033, 294013]",264864.43,5,"[9.7033, 36.0074, 72.6806, 61.695, 71.5108, 45.5675]",49.53,"[55159, 191487, 396784, 351621, 402369, 265095]",277085.83
Minimax,Negamax,4,horizontal,True,True,1,"[0.009, 0.011]",0.01,"[37, 55]",46.0,1,"[0.006, 0.009]",0.01,"[19, 37]",28.0
Negamax,Minimax,12,lrd,True,True,2,"[0.063, 0.151, 0.1417, 0.148, 0.221, 0.225]",0.16,"[345, 866, 792, 841, 1247, 1318]",901.5,2,"[0.068, 0.1, 0.154, 0.119, 0.217, 0.111]",0.13,"[386, 551, 858, 663, 1217, 688]",727.17
Minimax,Negamax,12,vertical,True,True,3,"[0.8066, 1.1126, 1.7339, 3.0057, 2.4293, 1.1219]",1.7,"[4632, 6228, 9818, 17035, 14496, 7084]",9882.17,3,"[0.466, 1.057, 1.467, 2.8117, 2.2508, 2.5245]",1.76,"[2595, 6073, 8320, 16092, 13046, 15035]",10193.5
Minimax,Negamax,14,lrd,True,True,4,"[9.2398, 30.8798, 40.4824, 26.9144, 42.7586, 21.5312, 7.1513]",25.57,"[57303, 176831, 234265, 159467, 253288, 139210, 48628]",152713.14,4,"[2.1741, 3.633, 10.0375, 18.0696, 11.4902, 18.0242, 11.4305]",10.69,"[12674, 19693, 54734, 100767, 62703, 104335, 70783]",60812.71
Negamax,Negamax,13,horizontal,True,True,5,"[31.2917, 44.1987, 57.9082, 84.7676, 65.5168, 42.5176]",54.37,"[146585, 215956, 300736, 456040, 365139, 237440]",286982.67,5,"[11.6882, 24.8093, 67.9871, 56.2669, 56.337, 29.6085, 8.2725]",36.42,"[66505, 135734, 381384, 332022, 334307, 177649, 51221]",211260.29
Negamax,Negamax,7,vertical,True,True,1,"[0.009, 0.009, 0.012]",0.01,"[37, 37, 55]",43.0,1,"[0.005, 0.009, 0.011, 0.012]",0.01,"[19, 37, 55, 55]",41.5
Minimax,Minimax,13,lrd,True,True,2,"[0.145, 0.147, 0.2408, 0.133, 0.222, 0.336, 0.194]",0.2,"[832, 834, 1376, 792, 1265, 1912, 1156]",1166.71,2,"[0.149, 0.103, 0.118, 0.146, 0.2751, 0.19]",0.16,"[856, 571, 649, 787, 1517, 1082]",910.33
Minimax,Minimax,13,lru,True,True,3,"[0.5505, 0.711, 1.3325, 2.0518, 1.7214, 1.8651, 1.1542]",1.34,"[3238, 3993, 7430, 11941, 9658, 11180, 7753]",7884.71,3,"[0.4901, 1.2374, 1.2272, 1.463, 2.9744, 2.1701]",1.59,"[2870, 6990, 6883, 8157, 16635, 12840]",9062.5
Minimax,Minimax,9,vertical,True,True,4,"[19.7083, 15.0382, 34.34, 43.4572, 37.9831]",30.11,"[116162, 86688, 196163, 249795, 221595]",174080.6,4,"[4.2497, 9.0962, 19.4216, 23.2387]",14.0,"[24975, 49764, 107972, 132010]",78680.25
Minimax,Negamax,10,vertical,True,True,5,"[20.644, 48.0906, 70.3842, 183.1969, 40.2593]",72.52,"[91524, 230163, 352737, 965367, 243373]",376632.8,5,"[7.2876, 25.1104, 38.501, 94.0199, 104.0093]",53.79,"[38768, 135215, 212212, 533488, 625506]",309037.8
Minimax,Negamax,6,vertical,True,True,1,"[0.008, 0.009, 0.012]",0.01,"[37, 37, 55]",43.0,1,"[0.006, 0.009, 0.011]",0.01,"[19, 37, 55]",37.0
Minimax,Minimax,13,lrd,True,True,2,"[0.061, 0.146, 0.2412, 0.133, 0.2263, 0.336, 0.1959]",0.19,"[345, 834, 1376, 792, 1265, 1912, 1156]",1097.14,2,"[0.059, 0.102, 0.117, 0.143, 0.2754, 0.19]",0.15,"[324, 571, 649, 787, 1517, 1082]",821.67
Minimax,Minimax,9,lru,True,True,3,"[0.532, 1.351, 1.6395, 2.1509, 1.305]",1.4,"[3142, 7901, 9274, 12407, 8070]",8158.8,3,"[0.9374, 1.9152, 1.5804, 2.1086]",1.64,"[5335, 10961, 9249, 12722]",9566.75
Minimax,Negamax,12,vertical,True,True,4,"[8.6788, 25.4306, 28.0416, 33.5647, 41.9661, 28.3786]",27.68,"[53765, 146259, 163973, 196395, 242639, 169145]",162029.33,4,"[2.1718, 3.697, 9.0273, 8.3744, 18.6918, 16.6949]",9.78,"[12714, 19912, 49345, 46725, 107416, 95858]",55328.33
Negamax,Negamax,13,lru,True,True,5,"[16.871, 70.5996, 144.5669, 233.254, 104.14, 64.8706]",105.72,"[74142, 319612, 697836, 1221968, 559221, 366494]",539878.83,5,"[11.386, 32.0188, 102.1763, 196.3708, 168.4109, 77.2831, 21.5783]",87.03,"[61003, 171255, 558546, 1105440, 968749, 461226, 141825]",495434.86
Minimax,Negamax,4,horizontal,True,True,1,"[0.008, 0.01]",0.01,"[37, 55]",46.0,1,"[0.006, 0.008]",0.01,"[19, 37]",28.0
Negamax,Minimax,12,vertical,True,True,2,"[0.074, 0.285, 0.4127, 0.373, 0.437, 0.221]",0.3,"[422, 1640, 2355, 2158, 2479, 1292]",1724.33,2,"[0.134, 0.192, 0.318, 0.273, 0.2091, 0.121]",0.21,"[761, 1097, 1772, 1517, 1181, 702]",1171.67
Negamax,Negamax,11,vertical,True,True,3,"[0.887, 1.4681, 3.059, 3.093, 1.8041]",2.06,"[4973, 8260, 17349, 17495, 10849]",11785.2,3,"[0.4271, 0.9553, 1.7081, 2.1907, 2.9799, 1.4741]",1.62,"[2392, 5431, 9698, 12727, 17356, 9105]",9451.5
