winner,starter,total_turns,win_direction,ab_pruning,t_tables,depth_m,turn_times_m,average_turn_time_m,turn_nodes_m,average_turn_nodes_m,depth_n,turn_times_n,average_turn_time_n,turn_nodes_n,average_turn_nodes_n
Minimax,Minimax,13,lrd,True,True,2,"[0.079, 0.1464, 0.241, 0.134, 0.228, 0.337, 0.1936]",0.19,"[381, 834, 1376, 792, 1265, 1912, 1156]",1102.29,2,"[0.088, 0.103, 0.118, 0.142, 0.278, 0.189]",0.15,"[497, 571, 649, 787, 1517, 1082]",850.5
Negamax,Negamax,11,vertical,True,True,3,"[0.881, 1.474, 3.0343, 3.0482, 1.7811]",2.04,"[5013, 8260, 17349, 17495, 10849]",11793.2,3,"[0.4568, 1.1332, 1.7056, 2.1582, 2.9384, 1.4589]",1.64,"[2570, 6481, 9698, 12727, 17356, 9105]",9656.17
Negamax,Minimax,12,vertical,True,True,4,"[15.3426, 16.9506, 32.523, 43.92, 37.0814, 32.9517]",29.79,"[90809, 102103, 185379, 253662, 214276, 193737]",173327.67,4,"[6.8504, 8.3279, 18.1049, 12.4945, 15.9101, 12.9895]",12.45,"[38977, 45585, 100774, 72423, 91259, 75746]",70794.0
Minimax,Negamax,10,lru,True,True,5,"[16.7321, 66.299, 95.8702, 63.278, 44.2673]",57.29,"[74318, 316491, 504818, 343728, 250968]",298064.6,5,"[11.4917, 28.2924, 67.4631, 74.9185, 54.2999]",47.29,"[62941, 152269, 370557, 436201, 318559]",268105.4
Minimax,Minimax,5,horizontal,True,True,1,"[0.008, 0.01, 0.007]",0.01,"[37, 37, 37]",37.0,1,"[0.015, 0.008]",0.01,"[37, 37]",37.0
Negamax,Minimax,12,lrd,True,True,2,"[0.064, 0.15, 0.141, 0.1414, 0.219, 0.228]",0.16,"[364, 866, 792, 841, 1247, 1318]",904.67,2,"[0.059, 0.099, 0.154, 0.12, 0.22, 0.11]",0.13,"[331, 551, 858, 663, 1217, 688]",718.0
Minimax,Negamax,12,lru,True,True,3,"[1.0172, 1.3977, 1.2719, 2.443, 2.8824, 2.6348]",1.94,"[5920, 7856, 7049, 13465, 16019, 15089]",10899.67,3,"[0.553, 0.784, 1.301, 1.6208, 3.9955, 3.5721]",1.97,"[3241, 4567, 7367, 8942, 22513, 20268]",11149.67
Minimax,Minimax,11,horizontal,True,True,4,"[9.7769, 32.9232, 90.9599, 59.1701, 10.6472, 14.7834]",36.38,"[56835, 189250, 521032, 342561, 63848, 88224]",210291.67,4,"[6.6336, 16.9594, 28.3966, 12.7075, 5.6977]",14.08,"[36517, 94984, 162908, 75960, 34925]",81058.8
Minimax,Minimax,11,lru,True,True,5,"[13.9519, 50.1581, 123.3171, 151.8259, 65.3921, 51.6469]",76.05,"[63532, 242280, 623998, 804871, 366605, 289648]",398489.0,5,"[25.2585, 55.4966, 94.0215, 108.554, 72.8375]",71.23,"[136485, 307003, 540648, 633951, 440568]",411731.0
Negamax,Minimax,8,vertical,True,True,1,"[0.005, 0.008, 0.012, 0.012]",0.01,"[19, 37, 55, 55]",41.5,1,"[0.008, 0.012, 0.015, 0.012]",0.01,"[37, 55, 73, 55]",55.0
Minimax,Minimax,13,lru,True,True,2,"[0.0765, 0.1772, 0.154, 0.183, 0.228, 0.304, 0.183]",0.19,"[408, 1001, 872, 1081, 1244, 1744, 1096]",1063.71,2,"[0.064, 0.152, 0.139, 0.131, 0.199, 0.192]",0.15,"[360, 857, 774, 724, 1089, 1093]",816.17
Minimax,Minimax,9,vertical,True,True,3,"[0.8822, 1.072, 1.4521, 2.7572, 1.6162]",1.56,"[5044, 6348, 8224, 16031, 10549]",9239.2,3,"[1.0272, 1.9213, 2.1497, 2.4087]",1.88,"[5791, 10939, 12276, 14317]",10830.75
Minimax,Negamax,16,horizontal,True,True,4,"[19.4887, 19.1757, 25.8685, 29.5258, 16.7414, 16.8207, 3.6257, 1.069]",16.54,"[113019, 112420, 148669, 172078, 102122, 103010, 23552, 6572]",97680.25,4,"[4.3609, 7.7275, 4.4882, 8.6696, 11.7244, 5.3744, 4.2153, 1.683]",6.03,"[24296, 43034, 24268, 48236, 66472, 32541, 27438, 11997]",34785.25
Negamax,Negamax,7,vertical,True,True,5,"[29.6509, 67.7166, 127.1841]",74.85,"[138490, 306096, 629216]",357934.0,5,"[10.9542, 29.9315, 90.0996, 45.2222]",44.05,"[63382, 162104, 501386, 265729]",248150.25
Minimax,Minimax,7,vertical,True,True,1,"[0.0052, 0.0052, 0.012, 0.011]",0.01,"[19, 19, 55, 55]",37.0,1,"[0.0052, 0.0076, 0.0116]",0.01,"[19, 37, 55]",37.0
Negamax,Minimax,12,vertical,True,True,2,"[0.127, 0.2424, 0.149, 0.14, 0.233, 0.3678]",0.21,"[724, 1388, 842, 785, 1325, 2131]",1199.17,2,"[0.1, 0.137, 0.128, 0.148, 0.241, 0.1498]",0.15,"[572, 852, 719, 808, 1368, 859]",863.0
Minimax,Minimax,9,vertical,True,True,3,"[0.965, 1.357, 3.1418, 3.5097, 1.9646]",2.19,"[5351, 7655, 17790, 19968, 12049]",12562.6,3,"[1.0337, 2.1898, 3.4056, 2.5406]",2.29,"[5799, 12371, 19526, 14848]",13136.0
Negamax,Negamax,8,vertical,True,True,4,"[17.8903, 20.1691, 50.363, 65.2964]",38.43,"[107286, 118887, 296217, 380540]",225732.5,4,"[2.3922, 5.9467, 10.8418, 30.5493]",12.43,"[13609, 32797, 60033, 172160]",69649.75
Minimax,Minimax,13,lru,True,True,5,"[18.4553, 50.5625, 149.5605, 125.8713, 18.9061, 24.4131, 10.09]",56.84,"[79088, 236612, 718835, 659253, 101346, 144474, 57190]",285256.86,5,"[31.6657, 80.7195, 159.3839, 102.425, 21.796, 24.565]",70.09,"[168635, 442036, 902458, 602851, 137631, 155283]",401482.33
Minimax,Minimax,9,vertical,True,True,1,"[0.0063, 0.0053, 0.0085, 0.012, 0.021]",0.01,"[19, 19, 37, 55, 73]",40.6,1,"[0.0052, 0.0081, 0.011, 0.012]",0.01,"[19, 37, 55, 55]",41.5
Minimax,Negamax,12,lrd,True,True,2,"[0.064, 0.196, 0.156, 0.246, 0.423, 0.2432]",0.22,"[364, 1139, 886, 1371, 2415, 1449]",1270.67,2,"[0.053, 0.101, 0.108, 0.115, 0.202, 0.187]",0.13,"[304, 567, 600, 671, 1051, 1093]",714.33
Minimax,Negamax,14,vertical,True,True,3,"[1.052, 1.4214, 2.5487, 3.0171, 2.1768, 0.869, 0.814]",1.7,"[5840, 8033, 14512, 17357, 12331, 5011, 5354]",9776.86,3,"[0.67, 1.1658, 2.1553, 3.1519, 3.7401, 2.5051, 0.8857]",2.04,"[3776, 6622, 12360, 18204, 21596, 14360, 5233]",11735.86
Minimax,Negamax,14,lrd,True,True,4,"[19.6016, 30.8745, 40.6862, 26.8964, 42.6034, 21.5664, 7.1494]",27.05,"[120218, 176831, 234265, 159467, 253288, 139210, 48628]",161701.0,4,"[6.8948, 3.6404, 10.0216, 18.074, 11.53, 18.0823, 11.426]",11.38,"[38980, 19693, 54734, 100767, 62703, 104335, 70783]",64570.71
Minimax,Minimax,11,lru,True,True,5,"[14.463, 36.911, 63.4901, 88.5377, 78.0766, 40.1798]",53.61,"[69306, 167000, 314550, 470808, 445655, 246631]",285658.33,5,"[24.0598, 48.3764, 72.0681, 56.1516, 50.3219]",50.2,"[133403, 261897, 404652, 335661, 303442]",287811.0
Minimax,Minimax,7,vertical,True,True,1,"[0.008, 0.008, 0.012, 0.011]",0.01,"[37, 37, 55, 55]",46.0,1,"[0.008, 0.008, 0.012]",0.01,"[37, 37, 55]",43.0
Negamax,Minimax,12,lrd,True,True,2,"[0.062, 0.1462, 0.228, 0.126, 0.22, 0.227]",0.17,"[345, 825, 1303, 751, 1247, 1318]",964.83,2,"[0.06, 0.0973, 0.146, 0.121, 0.216, 0.112]",0.13,"[335, 528, 814, 663, 1217, 688]",707.5
Minimax,Negamax,12,lru,True,True,3,"[1.0229, 1.4117, 1.266, 2.436, 2.8976, 2.6397]",1.95,"[5920, 7856, 7049, 13465, 16019, 15089]",10899.67,3,"[0.554, 0.785, 1.3235, 1.6065, 4.0083, 3.5642]",1.97,"[3241, 4567, 7367, 8942, 22513, 20268]",11149.67
Negamax,Negamax,13,vertical,True,True,4,"[8.0314, 23.9756, 32.9289, 31.88, 39.75, 36.1261]",28.78,"[49821, 138409, 190873, 185909, 230672, 216667]",168725.17,4,"[2.8196, 3.9221, 13.7469, 8.619, 20.0512, 17.0357, 10.4206]",10.95,"[16282, 21077, 75600, 47675, 115071, 97756, 61074]",62076.43
Minimax,Negamax,10,vertical,True,True,5,"[17.3892, 52.6924, 91.8627, 122.7452, 54.0515]",67.75,"[76343, 261422, 478237, 676491, 295675]",357633.6,5,"[12.0078, 29.919, 53.3674, 78.7277, 81.8892]",51.18,"[65518, 161230, 296608, 454438, 496315]",294821.8
Minimax,Minimax,7,vertical,True,True,1,"[0.005, 0.009, 0.011, 0.011]",0.01,"[19, 37, 55, 55]",41.5,1,"[0.008, 0.009, 0.012]",0.01,"[37, 37, 55]",43.0
Negamax,Minimax,12,lrd,True,True,2,"[0.066, 0.148, 0.23, 0.127, 0.2192, 0.227]",0.17,"[380, 854, 1303, 751, 1247, 1318]",975.5,2,"[0.082, 0.095, 0.147, 0.122, 0.2174, 0.112]",0.13,"[469, 528, 814, 663, 1217, 688]",729.83
Minimax,Minimax,9,vertical,True,True,3,"[0.781, 1.407, 1.7356, 1.9329, 1.8989]",1.55,"[4544, 8321, 9718, 11351, 11210]",9028.8,3,"[0.8766, 2.0986, 1.8331, 2.1011]",1.73,"[5068, 11990, 10759, 12179]",9999.0
