winner,starter,total_turns,win_direction,ab_pruning,t_tables,depth,turn_times,average_turn_time,turn_nodes,average_turn_nodes
Negamax,Greedy,8,vertical,True,True,3,"[0.4755, 1.203, 2.1043, 2.879]",1.67,"[2786, 6839, 12044, 16750]",9604.75

Negamax,Greedy,12,lrd,True,True,4,"[2.4725, 8.16, 13.1251, 12.4829, 11.1503, 7.022]",9.07,"[14741, 44930, 74370, 71573, 67499, 43749]",52810.33

Greedy,Greedy,7,vertical,True,True,1,"[0.005, 0.009, 0.013]",0.01,"[19, 37, 55]",37.0

Negamax,Negamax,3,horizontal,True,True,2,"[0.09, 0.076]",0.08,"[503, 444]",473.5

Negamax,Negamax,5,horizontal,True,True,3,"[1.17, 2.3348, 1.286]",1.6,"[6627, 13460, 8052]",9379.67

Negamax,Greedy,10,lru,True,True,4,"[4.1239, 9.3612, 14.4724, 15.8599, 7.9854]",10.36,"[22633, 52593, 81961, 92552, 51197]",60187.2

Negamax,Negamax,7,vertical,True,True,1,"[0.009, 0.006, 0.012, 0.012]",0.01,"[37, 19, 55, 55]",41.5

Negamax,Greedy,8,vertical,True,True,2,"[0.086, 0.183, 0.219, 0.229]",0.18,"[473, 1050, 1238, 1297]",1014.5

Negamax,Negamax,9,vertical,True,True,3,"[0.7418, 0.8327, 1.4994, 2.0355, 1.4815]",1.32,"[4387, 4792, 8478, 11834, 8693]",7636.8

Negamax,Greedy,8,vertical,True,True,4,"[6.3413, 7.9913, 14.7943, 12.9497]",10.52,"[35692, 44002, 83906, 75540]",59785.0

Negamax,Greedy,8,vertical,True,True,1,"[0.009, 0.009, 0.013, 0.011]",0.01,"[37, 37, 55, 55]",46.0

Negamax,Negamax,7,horizontal,True,True,2,"[0.056, 0.093, 0.15, 0.138]",0.11,"[312, 521, 841, 779]",613.25

Negamax,Negamax,9,vertical,True,True,3,"[0.447, 0.8607, 1.4615, 2.403, 2.0261]",1.44,"[2533, 4984, 8295, 13649, 11658]",8223.8

