winner,starter,total_turns,win_direction,ab_pruning,t_tables,depth,turn_times,average_turn_time,turn_nodes,average_turn_nodes
Negamax,Random,8,horizontal,True,True,1,"[0.006, 0.005, 0.008, 0.007]",0.01,"[19, 19, 37, 37]",28.0

Negamax,Negamax,11,horizontal,True,True,2,"[0.002, 0.051, 0.096, 0.097, 0.152, 0.115]",0.09,"[1, 286, 554, 537, 853, 656]",481.17

Negamax,Negamax,13,horizontal,True,True,3,"[0.002, 0.4388, 0.4405, 1.1255, 1.0882, 0.9177, 0.8651]",0.7,"[1, 2391, 2600, 6521, 6681, 6157, 6032]",4340.43

Negamax,Negamax,13,vertical,True,True,4,"[0.003, 2.2741, 2.5515, 4.7804, 10.173, 14.286, 14.2002]",6.9,"[1, 12418, 14234, 27816, 56076, 80760, 85231]",39505.14

Negamax,Random,14,vertical,True,True,5,"[6.8686, 24.8039, 27.4195, 41.8678, 44.2663, 74.8898, 49.0768]",38.46,"[36497, 135391, 152777, 231034, 247037, 441558, 299360]",220522.0

Negamax,Negamax,7,horizontal,True,True,1,"[0.002, 0.006, 0.005, 0.008]",0.01,"[1, 19, 19, 37]",19.0

Negamax,Negamax,11,horizontal,True,True,2,"[0.003, 0.052, 0.056, 0.095, 0.109, 0.122]",0.07,"[1, 286, 312, 519, 605, 689]",402.0

Negamax,Random,16,lrd,True,True,3,"[0.354, 0.463, 0.6031, 1.2671, 2.4368, 2.5144, 1.4951, 2.2805]",1.43,"[1987, 2590, 3356, 7209, 14060, 14227, 8849, 13759]",8254.62

Negamax,Random,8,horizontal,True,True,4,"[1.7541, 5.7346, 5.7138, 6.5949]",4.95,"[9574, 32059, 32122, 38536]",28072.75

Negamax,Random,12,horizontal,True,True,5,"[6.8508, 9.8641, 29.1955, 57.5502, 103.5265, 36.6292]",40.6,"[36497, 54328, 157692, 320401, 587166, 218312]",229066.0

Negamax,Negamax,11,vertical,True,True,1,"[0.003, 0.006, 0.005, 0.006, 0.008, 0.015]",0.01,"[1, 19, 19, 19, 37, 73]",28.0

Negamax,Negamax,15,vertical,True,True,2,"[0.002, 0.054, 0.0566, 0.1059, 0.1055, 0.14, 0.127, 0.134]",0.09,"[1, 305, 305, 591, 596, 783, 693, 766]",505.0

Negamax,Negamax,13,lrd,True,True,3,"[0.001, 0.467, 0.476, 0.9868, 1.449, 1.7135, 2.3169]",1.06,"[1, 2656, 2695, 5624, 8195, 9846, 13976]",6141.86

Negamax,Random,12,horizontal,True,True,4,"[1.7358, 5.7639, 6.6634, 4.0736, 5.311, 7.0842]",5.11,"[9482, 32367, 36801, 21720, 28899, 39712]",28163.5

Negamax,Negamax,15,vertical,True,True,5,"[0.003, 9.3819, 11.7847, 15.3617, 50.9239, 150.9737, 71.5854, 43.573]",44.2,"[1, 51699, 68602, 81424, 278203, 851198, 426613, 271908]",253706.0

Negamax,Negamax,9,vertical,True,True,1,"[0.002, 0.006, 0.005, 0.009, 0.012]",0.01,"[1, 19, 19, 37, 55]",26.2

Negamax,Negamax,13,horizontal,True,True,2,"[0.001, 0.0511, 0.062, 0.136, 0.135, 0.164, 0.1437]",0.1,"[1, 286, 351, 767, 760, 922, 818]",557.86

Negamax,Negamax,13,vertical,True,True,3,"[0.002, 0.396, 0.463, 1.2654, 1.0807, 1.0401, 1.0]",0.75,"[1, 2263, 2744, 7412, 6652, 6298, 6693]",4580.43

Negamax,Random,14,vertical,True,True,4,"[1.7116, 2.1647, 2.7647, 3.1325, 4.0405, 8.0432, 4.9212]",3.83,"[9325, 12179, 15047, 16917, 22060, 45380, 28991]",21414.14

Negamax,Random,12,horizontal,True,True,5,"[6.8772, 23.596, 13.9627, 49.0148, 58.8348, 36.4402]",31.45,"[36688, 129150, 74535, 269483, 337520, 217994]",177561.67

Negamax,Random,8,horizontal,True,True,1,"[0.005, 0.005, 0.008, 0.009]",0.01,"[19, 19, 37, 37]",28.0

Negamax,Negamax,11,horizontal,True,True,2,"[0.002, 0.051, 0.098, 0.097, 0.182, 0.103]",0.09,"[1, 286, 554, 537, 1015, 574]",494.5

Negamax,Negamax,13,vertical,True,True,3,"[0.002, 0.492, 0.6153, 0.963, 1.2633, 1.079, 1.1848]",0.8,"[1, 2806, 3478, 5450, 7360, 7055, 8048]",4885.43

Negamax,Random,16,lrd,True,True,4,"[1.7244, 1.9608, 4.0411, 3.9083, 5.8953, 8.5158, 5.8775, 5.1072]",4.63,"[9428, 11083, 22242, 20741, 32085, 47407, 34325, 32365]",26209.5

Negamax,Negamax,13,vertical,True,True,5,"[0.0027, 9.7695, 12.0031, 15.2739, 58.6901, 76.5542, 30.5612]",28.98,"[1, 53833, 69154, 80760, 321023, 431106, 176768]",161806.43

Negamax,Negamax,11,vertical,True,True,1,"[0.003, 0.005, 0.008, 0.008, 0.008, 0.015]",0.01,"[1, 19, 37, 37, 37, 73]",34.0

Negamax,Random,12,horizontal,True,True,2,"[0.054, 0.058, 0.06, 0.102, 0.1238, 0.107]",0.08,"[305, 325, 332, 570, 690, 605]",471.17

Negamax,Negamax,13,horizontal,True,True,3,"[0.002, 0.7726, 1.6691, 0.7939, 1.4396, 0.9768, 0.7671]",0.92,"[1, 4363, 9491, 4593, 8381, 6304, 4991]",5446.29

Negamax,Negamax,7,horizontal,True,True,4,"[0.003, 2.6462, 2.8369, 4.6525]",2.53,"[1, 14433, 16282, 27100]",14454.0

Negamax,Random,8,horizontal,True,True,5,"[6.8374, 24.0015, 27.3247, 52.0559]",27.55,"[36497, 131198, 152777, 299098]",154892.5

Negamax,Random,8,vertical,True,True,1,"[0.005, 0.009, 0.008, 0.012]",0.01,"[19, 37, 37, 55]",37.0

Negamax,Random,10,vertical,True,True,2,"[0.058, 0.104, 0.16, 0.131, 0.115]",0.11,"[324, 592, 906, 738, 650]",642.0

Negamax,Random,10,vertical,True,True,3,"[0.345, 0.355, 0.534, 1.065, 1.7278]",0.81,"[1946, 2008, 2937, 6078, 9987]",4591.2

Negamax,Random,14,horizontal,True,True,4,"[1.7461, 5.7887, 5.8005, 4.0568, 5.2412, 3.6297, 2.451]",4.1,"[9482, 32367, 32221, 21712, 28554, 20347, 14736]",22774.14

Negamax,Negamax,17,lru,True,True,5,"[0.002, 9.8024, 28.961, 44.0092, 70.088, 77.0848, 73.4997, 31.0359, 26.3548]",40.09,"[1, 54117, 162994, 243990, 389020, 441104, 446062, 203554, 185028]",236207.78

Negamax,Negamax,7,horizontal,True,True,1,"[0.003, 0.006, 0.009, 0.008]",0.01,"[1, 19, 37, 37]",23.5

Negamax,Random,12,vertical,True,True,2,"[0.0593, 0.1026, 0.064, 0.142, 0.14, 0.133]",0.11,"[324, 587, 362, 806, 772, 765]",602.67

Negamax,Negamax,11,horizontal,True,True,3,"[0.002, 0.4243, 0.4481, 1.0695, 1.6021, 1.337]",0.81,"[1, 2404, 2664, 5911, 9317, 8392]",4781.5

Negamax,Random,8,horizontal,True,True,4,"[1.7412, 5.2983, 6.317, 6.0451]",4.85,"[9574, 29739, 35663, 35790]",27691.5

Negamax,Negamax,11,horizontal,True,True,5,"[0.003, 14.755, 13.0311, 28.0677, 51.8099, 54.9081]",27.1,"[1, 80724, 70393, 153527, 296679, 324180]",154250.67

Negamax,Negamax,13,vertical,True,True,1,"[0.002, 0.0079, 0.005, 0.006, 0.008, 0.008, 0.014]",0.01,"[1, 19, 19, 19, 37, 37, 73]",29.29

Negamax,Negamax,11,vertical,True,True,2,"[0.001, 0.053, 0.061, 0.093, 0.134, 0.154]",0.08,"[1, 308, 347, 516, 755, 877]",467.33

Negamax,Random,12,vertical,True,True,3,"[0.3711, 0.538, 0.5801, 0.927, 1.333, 1.7545]",0.92,"[2098, 3060, 3220, 5226, 7678, 10488]",5295.0

Negamax,Negamax,11,vertical,True,True,4,"[0.003, 2.2675, 2.5216, 3.697, 9.8, 18.5986]",6.15,"[1, 12562, 14661, 20038, 54078, 105372]",34452.0

Negamax,Random,18,horizontal,True,True,5,"[6.7105, 9.889, 11.8296, 18.1182, 23.5397, 24.1687, 29.6177, 23.3257, 13.3911]",17.84,"[35625, 54390, 63414, 98213, 131308, 143162, 190782, 152444, 85758]",106121.78

Negamax,Random,10,vertical,True,True,1,"[0.005, 0.005, 0.005, 0.008, 0.012]",0.01,"[19, 19, 19, 37, 55]",29.8

Negamax,Negamax,11,horizontal,True,True,2,"[0.002, 0.052, 0.053, 0.092, 0.117, 0.143]",0.08,"[1, 288, 299, 511, 650, 810]",426.5

Negamax,Negamax,7,horizontal,True,True,3,"[0.003, 0.3942, 0.9211, 0.612]",0.48,"[1, 2237, 5454, 3901]",2898.25

Negamax,Random,8,horizontal,True,True,4,"[1.753, 5.3589, 6.0532, 6.7218]",4.97,"[9488, 29825, 34093, 38598]",28001.0

Negamax,Random,12,horizontal,True,True,5,"[6.8075, 9.3035, 11.5381, 36.0819, 21.6211, 14.1437]",16.58,"[36372, 52567, 61696, 196905, 122426, 86205]",92695.17

Negamax,Negamax,7,horizontal,True,True,1,"[0.002, 0.005, 0.008, 0.007]",0.01,"[1, 19, 37, 37]",23.5

Negamax,Negamax,13,vertical,True,True,2,"[0.002, 0.059, 0.054, 0.141, 0.161, 0.193, 0.19]",0.11,"[1, 334, 305, 789, 904, 1082, 1077]",641.71

Negamax,Negamax,9,vertical,True,True,3,"[0.002, 0.5223, 1.008, 0.8275, 1.7592]",0.82,"[1, 2976, 5830, 4766, 10101]",4734.8

Negamax,Negamax,9,vertical,True,True,4,"[0.003, 2.219, 2.6451, 5.9111, 10.4712]",4.25,"[1, 12187, 14568, 32238, 58759]",23550.6

Negamax,Negamax,17,lru,True,True,5,"[0.0026, 10.8441, 12.8647, 42.2418, 44.7891, 42.574, 41.3057, 44.4108, 20.278]",28.81,"[1, 59262, 69496, 232918, 259281, 255189, 252293, 285636, 144818]",173210.44

Negamax,Random,8,horizontal,True,True,1,"[0.005, 0.006, 0.008, 0.008]",0.01,"[19, 19, 37, 37]",28.0

Negamax,Negamax,11,vertical,True,True,2,"[0.001, 0.058, 0.054, 0.078, 0.173, 0.122]",0.08,"[1, 324, 305, 437, 983, 684]",455.67

Negamax,Random,14,vertical,True,True,3,"[0.369, 0.5372, 1.1121, 1.122, 1.2849, 1.3135, 1.0076]",0.96,"[2088, 3050, 6273, 6396, 7416, 7875, 6458]",5650.86

Negamax,Random,10,vertical,True,True,4,"[1.7228, 2.8475, 5.67, 12.654, 9.3457]",6.45,"[9428, 15667, 31592, 70073, 50973]",35546.6

Negamax,Negamax,7,horizontal,True,True,5,"[0.003, 9.807, 28.0926, 36.5542]",18.61,"[1, 54117, 157740, 215647]",106876.25

Negamax,Negamax,7,horizontal,True,True,1,"[0.002, 0.005, 0.005, 0.008]",0.01,"[1, 19, 19, 37]",19.0

Negamax,Negamax,7,horizontal,True,True,2,"[0.002, 0.052, 0.095, 0.089]",0.06,"[1, 290, 535, 504]",332.5

Negamax,Negamax,9,horizontal,True,True,3,"[0.002, 0.383, 0.7979, 0.686, 0.417]",0.46,"[1, 2183, 4747, 4606, 3118]",2931.0

Negamax,Negamax,15,vertical,True,True,4,"[0.003, 2.162, 2.8603, 3.7559, 9.6365, 12.0784, 8.3838, 5.5428]",5.55,"[1, 11980, 16049, 20392, 53346, 68870, 49142, 35640]",31927.5

Negamax,Negamax,11,vertical,True,True,5,"[0.003, 9.5499, 11.6549, 15.2506, 47.0112, 54.2575]",22.95,"[1, 52845, 68043, 80663, 256569, 301455]",126596.0

Negamax,Negamax,7,horizontal,True,True,1,"[0.002, 0.005, 0.009, 0.008]",0.01,"[1, 19, 37, 37]",23.5

Negamax,Negamax,11,vertical,True,True,2,"[0.003, 0.048, 0.084, 0.077, 0.118, 0.121]",0.08,"[1, 268, 473, 428, 662, 684]",419.33

Negamax,Negamax,17,horizontal,True,True,3,"[0.003, 0.5191, 0.4939, 1.0534, 1.7523, 2.2121, 1.255, 1.4832, 0.8411]",1.07,"[1, 2901, 2794, 5949, 9989, 12910, 8116, 9678, 5764]",6455.78

Negamax,Negamax,15,lru,True,True,4,"[0.002, 2.2492, 2.6703, 4.7729, 8.4218, 14.0194, 6.2597, 9.3886]",5.97,"[1, 12418, 15042, 27689, 46302, 78301, 36245, 55702]",33962.5

Negamax,Random,14,horizontal,True,True,5,"[6.8562, 10.8765, 11.7648, 39.1406, 69.2643, 98.4952, 53.4699]",41.41,"[36497, 59558, 62965, 217375, 391282, 570497, 328380]",238079.14

Negamax,Random,12,vertical,True,True,1,"[0.006, 0.005, 0.009, 0.009, 0.009, 0.012]",0.01,"[19, 19, 37, 37, 37, 55]",34.0

Negamax,Random,14,vertical,True,True,2,"[0.058, 0.057, 0.06, 0.112, 0.131, 0.123, 0.1643]",0.1,"[324, 324, 335, 621, 737, 682, 883]",558.0

Negamax,Random,14,vertical,True,True,3,"[0.37, 0.621, 1.098, 0.93, 1.2451, 1.3825, 1.7194]",1.05,"[2098, 3427, 6143, 5263, 7150, 8350, 10894]",6189.29

Negamax,Random,14,vertical,True,True,4,"[1.7333, 2.6771, 5.6284, 8.2447, 9.2254, 14.2798, 10.1912]",7.43,"[9488, 15148, 33089, 45533, 51388, 79986, 60209]",42120.14

Negamax,Negamax,7,horizontal,True,True,5,"[0.002, 9.2266, 21.5581, 21.9592]",13.19,"[1, 50940, 125133, 129383]",76364.25

Negamax,Random,12,horizontal,True,True,1,"[0.005, 0.005, 0.006, 0.008, 0.016, 0.01]",0.01,"[19, 19, 19, 37, 73, 55]",37.0

Negamax,Random,12,horizontal,True,True,2,"[0.057, 0.06, 0.063, 0.132, 0.142, 0.106]",0.09,"[324, 339, 353, 665, 790, 599]",511.67

Negamax,Random,10,vertical,True,True,3,"[0.3661, 0.602, 1.7057, 1.4807, 1.9157]",1.21,"[2062, 3420, 9685, 8481, 10910]",6911.6

Negamax,Negamax,13,vertical,True,True,4,"[0.003, 2.3651, 2.4092, 5.3825, 10.0477, 9.099, 8.4129]",5.39,"[1, 13087, 13774, 29771, 56293, 52291, 51262]",30925.57

Negamax,Random,14,vertical,True,True,5,"[6.7961, 9.9098, 27.0767, 46.1801, 48.5572, 47.6481, 46.5156]",33.24,"[36265, 54596, 146669, 256154, 274344, 275906, 294775]",191244.14

Negamax,Negamax,7,horizontal,True,True,1,"[0.003, 0.005, 0.006, 0.007]",0.01,"[1, 19, 19, 37]",19.0

Negamax,Negamax,7,horizontal,True,True,2,"[0.002, 0.052, 0.053, 0.085]",0.05,"[1, 290, 290, 491]",268.0

