winner,starter,total_turns,win_direction,ab_pruning,t_tables,depth,turn_times,average_turn_time,turn_nodes,average_turn_nodes
Minimax,Minimax,11,lrd,True,True,2,"[0.067, 0.151, 0.14, 0.13, 0.3737, 0.241]",0.18,"[385, 866, 792, 784, 2087, 1378]",1048.67
Minimax,Minimax,5,horizontal,True,True,3,"[0.8921, 1.4263, 1.8366]",1.39,"[5128, 8321, 11375]",8274.67
Minimax,Minimax,11,horizontal,True,True,4,"[19.3777, 15.1019, 25.953, 35.7968, 19.4862, 15.5823]",21.88,"[115421, 86688, 147220, 205638, 115190, 97297]",127909.0
Minimax,Minimax,7,vertical,True,True,1,"[0.0089, 0.0062, 0.012, 0.012]",0.01,"[37, 19, 55, 55]",41.5
Minimax,Minimax,7,horizontal,True,True,2,"[0.075, 0.176, 0.2774, 0.148]",0.17,"[422, 1003, 1590, 848]",965.75
Minimax,Minimax,5,horizontal,True,True,3,"[0.512, 1.3517, 1.6521]",1.17,"[3052, 7901, 10309]",7087.33
Minimax,Minimax,7,vertical,True,True,4,"[8.2454, 29.1014, 34.0843, 24.5271]",23.99,"[47828, 169023, 199063, 143936]",139962.5
Minimax,Greedy,8,lru,True,True,1,"[0.0059, 0.0089, 0.0118, 0.013]",0.01,"[19, 37, 55, 73]",46.0
Minimax,Greedy,10,vertical,True,True,2,"[0.147, 0.15, 0.195, 0.21, 0.2626]",0.19,"[842, 856, 1136, 1179, 1430]",1088.6
Minimax,Greedy,12,vertical,True,True,3,"[1.3832, 1.9929, 2.1077, 1.716, 1.5141, 0.413]",1.52,"[7622, 11316, 11735, 10013, 9229, 3192]",8851.17
Minimax,Minimax,11,vertical,True,True,4,"[7.9861, 14.3955, 40.9981, 42.443, 19.689, 25.9037]",25.24,"[48418, 83243, 235694, 248161, 118170, 159110]",148799.33
Greedy,Greedy,7,vertical,True,True,1,"[0.009, 0.0086, 0.012]",0.01,"[37, 37, 55]",43.0
Minimax,Minimax,9,vertical,True,True,2,"[0.07, 0.081, 0.17, 0.2291, 0.357]",0.18,"[383, 419, 953, 1298, 2033]",1017.2
Minimax,Greedy,8,vertical,True,True,3,"[0.4852, 1.307, 2.5749, 2.7462]",1.78,"[2805, 7264, 14358, 15440]",9966.75
Minimax,Minimax,9,vertical,True,True,4,"[6.8739, 20.4892, 37.9827, 31.3258, 18.136]",22.96,"[39833, 118383, 217238, 185306, 114957]",135143.4
Minimax,Greedy,6,vertical,True,True,1,"[0.01, 0.012, 0.011]",0.01,"[37, 55, 55]",49.0
Minimax,Minimax,9,vertical,True,True,2,"[0.06, 0.138, 0.1999, 0.2268, 0.275]",0.18,"[345, 793, 1125, 1290, 1571]",1024.8
Minimax,Minimax,7,vertical,True,True,3,"[0.526, 0.8316, 2.0498, 2.9372]",1.59,"[2972, 4762, 11438, 16699]",8967.75
Minimax,Greedy,12,vertical,True,True,4,"[13.3364, 39.5487, 66.9991, 94.6632, 88.0752, 29.9776]",55.43,"[55633, 136549, 232396, 324675, 307602, 117000]",195642.5
Minimax,Greedy,8,vertical,True,True,1,"[0.014, 0.019, 0.025, 0.019]",0.02,"[37, 55, 73, 55]",55.0
Minimax,Greedy,8,vertical,True,True,2,"[0.319, 0.5428, 0.7611, 0.468]",0.52,"[1098, 1841, 2574, 1597]",1777.5
Minimax,Minimax,5,vertical,True,True,3,"[1.0057, 2.01, 2.4956]",1.84,"[3381, 6781, 8345]",6169.0
Minimax,Greedy,4,horizontal,True,True,4,"[43.5896, 33.8642]",38.73,"[153597, 121132]",137364.5
Greedy,Minimax,8,vertical,True,True,1,"[0.008, 0.013, 0.019, 0.019]",0.01,"[19, 37, 55, 55]",41.5
